uid,Name,中文名 ,分类学地位 ,Class,活病毒培养、感染性材料核酸提取,动物感染 ,未灭活样本的检测、诊断 ,已确认灭活材料的实验操作 ,重组病毒,Note
95,"alphaviruses,Other known alphaviruses ",其他已知的甲病毒属病毒 ,披膜病毒科甲病毒属(A 群虫媒病毒) ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
96,Astrovirus ,星状病毒 ,星状病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
97,Avian leucosis virus ,禽白血病病毒 ,病毒载体/动物逆转录病毒 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
98,Avian sarcoma virus ,鸟肉瘤病毒,病毒载体/动物逆转录病毒 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
99,Barmah Forest virus ,Barmah 森林病毒 ,披膜病毒科/甲病毒属(A 群虫媒病毒) ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
100,Bebaru virus ,Bebaru 病毒,披膜病毒科/甲病毒属(A 群虫媒病毒) ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
101,Bovine immunodeficiency virus (BIV) ,牛免疫缺陷病毒 ,病毒载体/动物逆转录病毒 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
102,Bovine leukemia virus (BLV) ,牛白血病病毒 ,病毒载体/动物逆转录病毒 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
103,Bovine papilloma virus ,牛乳头状瘤病毒 ,乳多空病毒/动物病毒载体 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
104,Buffalopox virus: 2 viruses(1 a vaccinia variant) ,水牛正痘病毒：2 种(1 种是牛痘变种) ,痘病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
105,Bunyavirus ,布尼雅病毒,布尼雅病毒科/布尼雅病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
106,Cabassou ,犰狳病毒 ,X—虫媒病毒 ,C ,BSL-2,ABSL-2,BSL-1 ,BSL-1, , 
107,Calicivirus ,各种杯状病毒 ,杯状病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, ,目前人类病毒不能培养 
108,Coltiviruses ,小马病毒 ,呼肠病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
109,Coronavieus ,普通冠状病毒 ,冠状病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 ,"除了 SARS-CoV 以外,如NL-63,OC-43,229E 等 "
110,Cowpox virus ,牛痘病毒 ,痘病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
111,Coxsakie virus ,柯萨奇病毒,小 RNA 病毒科/ 肠道病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
112,Cytomegalovirus ,巨细胞病毒,疱疹病毒科/ b 疱疹病毒亚科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
113,Dengue virus ,登革热病毒,黄病毒科/黄病毒属(B 群虫媒病毒),C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 ,"1～4 型, "
114,Dog sarcoma ,犬肉瘤病毒,病毒载体/动物病毒 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
115,ECHO virus ,埃可病毒 ,小 RNA 病毒科/ 肠道病毒属 ,C ,BSL-2,ABSL-2,BSL-1 ,BSL-1, , 
116,Elephantpox virus (variant of cowpox) ,象痘病毒 ,痘病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
117,Enterovirus ,肠道病毒 ,小 RNA 病毒科/ 肠道病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
118,Enterovirus 71 ,肠道病毒-71 型 ,小 RNA 病毒科/ 肠道病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
