X,I,T,V
0.0798000000000001,2.45826220922776,399999997.366717,0.0145232845172672
0.0805000000000001,2.47914332197456,399999997.342834,0.0145443496462858
0.0812000000000001,2.50003402914936,399999997.318917,0.0145656873591541
0.0819000000000001,2.52093476633518,399999997.294964,0.0145872975404393
0.0826000000000001,2.54184596840516,399999997.270975,0.0146091800809025
0.0833000000000001,2.56276806953365,399999997.246949,0.0146313348774832
0.0840000000000001,2.5837015032071,399999997.222887,0.0146537618332842
0.0847000000000001,2.60464670223502,399999997.198788,0.0146764608575561
0.0854000000000001,2.6256040987609,399999997.174651,0.014699431865682
0.0861000000000001,2.64657412427301,399999997.150477,0.014722674779163
0.0868000000000002,2.66755720961526,399999997.126263,0.0147461895256032
0.0875000000000002,2.68855378499796,399999997.102011,0.014769976038695
0.0882000000000002,2.70956428000855,399999997.077719,0.0147940342582051
0.0889000000000002,2.73058912362236,399999997.053388,0.0148183641299598
0.0896000000000002,2.75162874421319,399999997.029016,0.0148429656058308
0.0903000000000002,2.77268356956404,399999997.004603,0.014867838643722
0.0910000000000002,2.79375402687763,399999996.980149,0.0148929832075549
0.0917000000000002,2.81484054278702,399999996.955654,0.0149183992672553
0.0924000000000002,2.83594354336611,399999996.931116,0.0149440867987399
0.0931000000000002,2.85706345414012,399999996.906536,0.0149700457839031
0.0938000000000002,2.87820070009608,399999996.881913,0.0149962762106034
0.0945000000000002,2.89935570569325,399999996.857247,0.015022778072651
0.0952000000000002,2.92052889487349,399999996.832536,0.0150495513697945
0.0959000000000002,2.94172069107165,399999996.807782,0.0150765961077086
0.0966000000000002,2.96293151722584,399999996.782982,0.0151039122979812
0.0973000000000002,2.98416179578779,399999996.758138,0.0151314999581014
0.0980000000000003,3.00541194873307,399999996.733247,0.0151593591114472
0.0987000000000003,3.02668239757132,399999996.708311,0.0151874897872733
0.0994000000000003,3.04797356335644,399999996.683328,0.0152158920206994
0.1001,3.06928586669678,399999996.658298,0.0152445658526984
0.1008,3.09061972776523,399999996.633221,0.0152735113300845
0.1015,3.11197556630938,399999996.608096,0.0153027285055025
0.1022,3.13335380166152,399999996.582922,0.0153322174374159
0.1029,3.15475485274874,399999996.5577,0.0153619781900958
0.1036,3.17617913810289,399999996.532428,0.0153920108336102
0.1043,3.1976270758706,399999996.507107,0.015422315443813
0.105,3.2190990838232,399999996.481736,0.0154528921023334
0.1057,3.24059557936667,399999996.456314,0.0154837408965653
0.1064,3.2621169795515,399999996.430841,0.0155148619196569
0.1071,3.28366370108255,399999996.405317,0.0155462552705005
0.1078,3.30523616032894,399999996.37974,0.0155779210537224
0.1085,3.32683477333378,399999996.354112,0.015609859379673
0.1092,3.34845995582399,399999996.32843,0.0156420703644171
0.1099,3.37011212322004,399999996.302696,0.0156745541297238
0.1106,3.39179169064569,399999996.276907,0.0157073108030575
0.1113,3.41349907293763,399999996.251065,0.0157403405175685
0.112,3.43523468465523,399999996.225168,0.0157736434120833
0.1127,3.45699894009011,399999996.199215,0.0158072196310961
0.1134,3.47879225327578,399999996.173208,0.0158410693247596
0.1141,3.50061503799725,399999996.147144,0.0158751926488762
0.1148,3.52246770780055,399999996.121024,0.0159095897648894
0.1155,3.5443506760023,399999996.094847,0.0159442608398753
0.1162,3.56626435569923,399999996.068613,0.0159792060465342
0.1169,3.58820915977761,399999996.042322,0.0160144255631825
0.1176,3.61018550092278,399999996.015971,0.0160499195737443
0.1183,3.63219379162856,399999995.989563,0.0160856882677441
0.119,3.65423444420664,399999995.963095,0.0161217318402981
0.1197,3.67630787079601,399999995.936568,0.0161580504921073
0.1204,3.69841448337229,399999995.90998,0.0161946444294497
0.1211,3.72055469375711,399999995.883333,0.0162315138641727
0.1218,3.74272891362737,399999995.856624,0.0162686590136862
0.1225,3.7649375545246,399999995.829854,0.0163060801009553
0.1232,3.7871810278642,399999995.803022,0.0163437773544934
0.1239,3.80945974494469,399999995.776128,0.0163817510083551
0.1246,3.83177411695692,399999995.749171,0.01642000130213
0.1253,3.85412455499334,399999995.722151,0.0164585284809357
0.126000000000001,3.87651147005711,399999995.695068,0.0164973327954114
0.126700000000001,3.89893527307129,399999995.66792,0.0165364145017119
0.127400000000001,3.92139637488802,399999995.640708,0.016575773861501
0.128100000000001,3.94389518629756,399999995.613431,0.0166154111419459
0.128800000000001,3.96643211803747,399999995.586088,0.0166553266157109
0.129500000000001,3.98900758080164,399999995.558679,0.0166955205609519
0.130200000000001,4.01162198524935,399999995.531204,0.0167359932613108
0.130900000000001,4.03427574201433,399999995.503662,0.0167767450059096
0.131600000000001,4.05696926171378,399999995.476053,0.0168177760893456
0.132300000000001,4.07970295495734,399999995.448377,0.0168590868116856
0.133000000000001,4.1024772323561,399999995.420632,0.0169006774784613
0.133700000000001,4.12529250453154,399999995.392818,0.0169425484006638
0.134400000000001,4.14814918212448,399999995.364935,0.0169846998947392
0.135100000000001,4.171047675804,399999995.336983,0.0170271322825836
0.135800000000001,4.19398839627636,399999995.30896,0.0170698458915386
0.136500000000001,4.21697175429385,399999995.280867,0.0171128410543868
0.137200000000001,4.23999816066371,399999995.252703,0.0171561181093476
0.137900000000001,4.26306802625693,399999995.224468,0.0171996774000727
0.138600000000001,4.28618176201712,399999995.196161,0.0172435192756424
0.139300000000001,4.3093397789693,399999995.167781,0.0172876440905613
0.140000000000001,4.33254248822872,399999995.139328,0.0173320522047546
0.140700000000001,4.35579030100963,399999995.110803,0.0173767439835646
0.141400000000001,4.37908362863405,399999995.082203,0.0174217197977466
0.142100000000001,4.40242288254052,399999995.053529,0.0174669800234662
0.142800000000001,4.42580847429282,399999995.024781,0.0175125250422953
0.143500000000001,4.44924081558872,399999994.995957,0.0175583552412091
0.144200000000001,4.47272031826863,399999994.967058,0.0176044710125834
0.144900000000001,4.49624739432434,399999994.938083,0.017650872754191
0.145600000000001,4.51982245590767,399999994.909031,0.0176975608691995
0.146300000000001,4.5434459153391,399999994.879902,0.0177445357661681
0.147000000000001,4.56711818511646,399999994.850695,0.0177917978590454
0.147700000000001,4.59083967792351,399999994.821411,0.0178393475671667
0.148400000000001,4.61461080663859,399999994.792048,0.0178871853152517
0.149100000000001,4.63843198434319,399999994.762606,0.0179353115334024
0.149800000000001,4.66230362433056,399999994.733084,0.017983726657101
0.150500000000001,4.68622614011425,399999994.703483,0.0180324311272078
0.151200000000001,4.71019994543669,399999994.673802,0.0180814253899596
0.151900000000001,4.73422545427774,399999994.644039,0.0181307098969675
0.152600000000001,4.75830308086319,399999994.614195,0.018180285105216
0.153300000000001,4.78243323967331,399999994.58427,0.0182301514770609
0.154000000000001,4.80661634545133,399999994.554262,0.0182803094802281
0.154700000000001,4.83085281321196,399999994.524172,0.0183307595878128
0.155400000000001,4.85514305824984,399999994.493998,0.0183815022782776
0.156100000000001,4.87948749614804,399999994.46374,0.0184325380354523
0.156800000000001,4.9038865427865,399999994.433399,0.0184838673485322
0.157500000000001,4.92834061435046,399999994.402972,0.0185354907120781
0.158200000000001,4.95285012733893,399999994.372461,0.0185874086260153
0.158900000000001,4.9774154985731,399999994.341864,0.0186396215956329
0.159600000000001,5.00203714520472,399999994.31118,0.0186921301315839
0.160300000000001,5.02671548472455,399999994.28041,0.0187449347498843
0.161000000000001,5.05145093497074,399999994.249553,0.0187980359719133
